"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Num decessi"";""Num dimissioni a domicilio"";""Num dimissioni verso altra struttura"""
"2022;""08024400"";""VILLA SERENA"";""154"";""4.230"";""479"""
"2022;""08024500"";""MALATESTA NOVELLO"";""229"";""4.827"";""427"""
"2022;""08024600"";""CASA DI CURA PRIVATA SAN LORENZINO S.P.A"";""217"";""2.346"";""407"""
"2022;""08024700"";""SOL ET SALUS"";""***"";""2.641"";""515"""
"2022;""08024900"";""CASA DI CURA VILLA MARIA"";""113"";""3.747"";""495"""
"2022;""08025000"";""LUCE SUL MARE"";""***"";""135"";""68"""
"2022;""08025100"";""VILLA SALUS S.R.L."";""***"";""329"";""35"""
"2022;""08025200"";""CASA DI CURA PROF. E. MONTANARI"";""137"";""4.482"";""119"""
"2022;""08025300"";""FONDAZIONE DON CARLO GNOCCHI ONLUS"";""***"";""1.063"";""127"""
"2022;""08025400"";""CENTRO CARDINAL FERRARI S.R.L."";""17"";""325"";""143"""
"2022;""08025500"";""OSPEDALE PRIVATO SANTA VIOLA"";""101"";""522"";""379"""
"2022;""08025600"";""CASA DI CURA EUGENIO GRUPPIONI OSPEDALE"";""***"";""590"";""6"""
"2022;""08090200"";""AZIENDA OSPEDALIERO-UNIVERSITARIA DI PAR"";""1.738"";""35.126"";""4.859"""
"2022;""08090401"";""AZIENDA OSPEDALIERO-UNIVERSITARIA DI MOD"";""989"";""32.427"";""1.761"""
"2022;""08090402"";""NUOVO OSPEDALE CIVILE  S.AGOSTINO - ESTE"";""887"";""14.653"";""3.221"""
"2022;""08090800"";""IRCCS AZIENDA OSPEDALIERO-UNIVERSITARIA"";""1.704"";""49.395"";""3.715"""
"2022;""08090900"";""AZIENDA OSPEDALIERO-UNIVERSITARIA DI FER"";""1.549"";""25.139"";""3.344"""
"2022;""08092100"";""I.R.S.T. SRL IRCCS"";""35"";""1.362"";""91"""
"2022;""08096000"";""ISTITUTO ORTOPEDICO RIZZOLI"";""16"";""16.020"";""1.124"""
"2022;""09020200"";""CASA CURA S.CAMILLO FORTE DEI MARMI SRL"";""***"";""1.970"";""8"""
"2022;""09020300"";""CASA DI CURA MD BARBANTINI"";""***"";""39"";""13"""
"2022;""09020400"";""C. DI CURA M.D. BARBANTINI SANTA CHIARA"";""***"";""2.020"";""***"""
"2022;""09020500"";""CASA DI CURA S.ZITA"";""***"";""905"";""***"""
"2022;""09020600"";""CASA DI CURA VILLE DI NOZZANO"";""***"";""538"";""***"""
"2022;""09020700"";""CASA DI CURA S. RITA"";""***"";""1.385"";""13"""
"2022;""09021000"";""CASA DI CURA VILLA FIORITA"";""9"";""4.178"";""52"""
"2022;""09021300"";""CASA DI CURA VILLA DONATELLO SPA"";""20"";""3.002"";""***"""
"2022;""09021400"";""CASA DI CURA VILLA CHERUBINI PROSPERIUS"";""***"";""471"";""***"""
"2022;""09021600"";""KOS CARE S.R.L. VILLA DEI PINI"";""***"";""521"";""11"""
"2022;""09021800"";""IFCA SPA CASA DI CURA ULIVELLA E GLICINI"";""181"";""4.767"";""216"""
"2022;""09021900"";""VILLA MARIA TERESA HOSPITAL SRL"";""88"";""464"";""264"""
"2022;""09022900"";""VILLA DELLE TERME SPA"";""104"";""264"";""405"""
"2022;""09023000"";""CASA DI CURA VAL DI SIEVE SRL"";""33"";""1.681"";""203"""
"2022;""09023100"";""CASA DI CURA SUORE DELL'ADDOLORATA"";""***"";""***"";""***"""
"2022;""09023300"";""CASA DI CURA PRIVATA SAN ROSSORE S.R.L."";""6"";""1.932"";""***"""
"2022;""09023400"";""CASA DI CURA VILLA TIRRENA"";""***"";""246"";""6"""
"2022;""09023500"";""CASA DI CURA """"LEONARDO"""""";""***"";""1.923"";""6"""
"2022;""09023600"";""CENTRO CHIRURGICO TOSCANO"";""***"";""5.134"";""***"""
"2022;""09023700"";""SAN GIUSEPPE HOSPITAL"";""***"";""2.795"";""374"""
"2022;""09023900"";""RUGANI HOSPITAL SRL"";""***"";""1.731"";""436"""
"2022;""09024000"";""CASA DI CURA FRATE SOLE  SRL"";""***"";""1.208"";""857"""
"2022;""09024100"";""CEN.S. MARIA ALLA PINETA  F. DON GNOCCHI"";""9"";""466"";""125"""
"2022;""09024300"";""CENTRO DAY SURGERY MAURIZIO BUFALINI SRL"";""***"";""218"";""***"""
"2022;""09024500"";""CASA DI CURA SAN PAOLO SPA"";""***"";""469"";""***"""
"2022;""09060101"";""OSP. S. ANTONIO ABATE FIVIZZANO   (MS)"";""122"";""1.175"";""134"""
"2022;""09060102"";""OSP. CIV. S.ANTONIO  PONTREMOLI (MS)"";""151"";""1.700"";""249"""
"2022;""09060201"";""STABILIMENTO OSPEDALIERO DI CARRARA"";""***"";""960"";""***"""
"2022;""09060203"";""OSPEDALE  DELLE APUANE"";""713"";""13.995"";""1.490"""
"2022;""09060301"";""STABILIMENTO OSPEDALIERO SANTA CROCE"";""113"";""1.757"";""281"""
"2022;""09060302"";""STABILIMENTO OSPEDALIERO SAN FRANCESCO"";""105"";""1.703"";""167"""
"2022;""09060400"";""PRESIDIO OSPEDALIERO SAN LUCA"";""790"";""13.784"";""864"""
"2022;""09060601"";""OSPEDALE SAN JACOPO"";""640"";""14.647"";""913"""
"2022;""09060602"";""OSPEDALE LORENZO PACINI"";""47"";""551"";""52"""
"2022;""09060700"";""OSPEDALE DELLA VALDINIEVOLE"";""349"";""7.435"";""252"""
"2022;""09060800"";""NUOVO OSPEDALE DI PRATO S.STEFANO"";""924"";""24.323"";""1.038"""
"2022;""09060900"";""PRESIDIO OSPEDALIERO """"S.MARIA MADDALENA"""""";""103"";""1.953"";""81"""
"2022;""09061001"";""P.O. F. LOTTI STABILIMENTO DI PONTEDERA"";""480"";""7.810"";""653"""
"2022;""09061002"";""SPDC AZIENDALE ASL5"";""***"";""390"";""83"""
"2022;""09061300"";""OSPEDALE LIVORNO"";""775"";""15.999"";""856"""
"2022;""09061401"";""OSPEDALE DI VILLAMARINA"";""239"";""3.537"";""224"""
"2022;""09061402"";""OSPEDALE CIVILE DI CECINA"";""335"";""5.350"";""141"""
"2022;""09061500"";""OSPEDALE DI PORTOFERRAIO"";""106"";""1.907"";""257"""
"2022;""09061800"";""OSPEDALE DEL CASENTINO"";""137"";""1.783"";""245"""
"2022;""09061900"";""OSPEDALE DELLA VALTIBERINA"";""64"";""1.808"";""170"""
"2022;""09062100"";""OSPEDALE AREA ARETINA NORD"";""806"";""17.711"";""1.438"""
"2022;""09062300"";""OSPEDALE  S.ANDREA   MASSA MARITTIMA"";""121"";""2.316"";""202"""
"2022;""09062402"";""OSPEDALE DI ORBETELLO"";""122"";""2.064"";""182"""
"2022;""09062403"";""OSPEDALE DI PITIGLIANO"";""14"";""80"";""34"""
"2022;""09062500"";""OSPEDALE CIVILE DI CASTEL DEL PIANO"";""77"";""346"";""103"""
"2022;""09062600"";""OSPEDALE DELLA MISERICORDIA GROSSETO"";""716"";""14.762"";""953"""
"2022;""09062700"";""OSPEDALE DI BORGO SAN LORENZO"";""188"";""4.080"";""376"""
"2022;""09062901"";""OSPEDALE S.M.ANNUNZIATA"";""509"";""11.043"";""1.114"""
"2022;""09062902"";""OSPEDALE SERRISTORI"";""57"";""1.634"";""84"""
"2022;""09063201"";""SANTA MARIA NUOVA"";""237"";""5.313"";""159"""
"2022;""09063202"";""OSPEDALE PIERO PALAGI"";""***"";""2.916"";""8"""
"2022;""09063203"";""OSP. S. GIOVANNI DI DIO TORREGALLI"";""469"";""12.332"";""567"""
"2022;""09063206"";""OBLATE AZIENDA SANITARIA FIRENZE"";""***"";""347"";""83"""
"2022;""09063400"";""SERVIZIO PSICHIATRICO DIAGNOSI E CURA"";""***"";""177"";""60"""
"2022;""09063700"";""PRESIDIO OSPEDALIERO AMIATA SENESE"";""40"";""376"";""35"""
"2022;""09063800"";""OSPEDALE DELL'ALTA VAL D'ELSA"";""232"";""5.920"";""239"""
"2022;""09063900"";""OSPEDALI RIUNITI DELLA VAL DI CHIANA"";""288"";""5.011"";""217"""
"2022;""09064000"";""OSPEDALE VERSILIA"";""674"";""14.886"";""1.169"""
"2022;""09064100"";""OSPEDALE NUOVO VALDARNO"";""324"";""6.299"";""544"""
"2022;""09064202"";""OSPEDALE S. GIUSEPPE"";""767"";""14.789"";""472"""
"2022;""09064203"";""OSPEDALE SAN PIETRO IGNEO"";""***"";""779"";""***"""
"2022;""09064300"";""NUOVO OSPEDALE VALDICHIANA S. MARGHERITA"";""109"";""981"";""245"""
"2022;""09090100"";""AZIENDA OSPEDALIERO-UNIVERSITARIA PISANA"";""1.154"";""49.151"";""1.089"""
"2022;""09090200"";""AZIENDA OSPEDALIERA UNIVERSITARIA SENESE"";""767"";""28.181"";""805"""
"2022;""09090300"";""AZ. OSPEDALIERO - UNIVERSITARIA CAREGGI"";""1.194"";""49.863"";""2.623"""
"2022;""09090400"";""AZIENDA OSPEDALIERA MEYER"";""33"";""22.490"";""62"""
"2022;""09090600"";""FONDAZIONE STELLA MARIS - CALAMBRONE"";""***"";""4.214"";""34"""
"2022;""09090701"";""FONDAZIONE CNR-RT G. MONASTERIO"";""13"";""2.496"";""80"""
"2022;""09090702"";""OSPEDALE DEL CUORE G. PASQUINUCCI"";""74"";""2.108"";""476"""
"2022;""09090900"";""AUXILIUM VITAE VOLTERRA SPA"";""43"";""509"";""291"""
"2022;""09091000"";""FONDAZIONE DON CARLO GNOCCHI - ONLUS"";""22"";""676"";""445"""
"2022;""09091100"";""CENTRO RIABILITAZIONE TERRANUOVA B. SPA"";""39"";""126"";""159"""
"2022;""10060200"";""SERVIZIO PSICHIATRICO DIAGNOSI E CURA"";""***"";""153"";""35"""
"2022;""10070100"";""CASA DI CURA VILLA FIORITA"";""***"";""972"";""127"""
"2022;""10070200"";""ISTITUTO CLINICO PORTA SOLE CASA DI CURA"";""***"";""2.167"";""***"""
"2022;""10070300"";""CLINICA LAMI"";""***"";""1.352"";""451"""
"2022;""10070400"";""CASA DI CURA LIOTTI"";""***"";""2.415"";""316"""
"2022;""10070500"";""CASA DI CURA VILLA AURORA SRL"";""***"";""1.293"";""***"""
"2022;""10080101"";""OSPEDALE DI CITTA` DI CASTELLO"";""393"";""7.459"";""898"""
"2022;""10080102"";""OSPEDALE DI UMBERTIDE"";""38"";""2.426"";""149"""
"2022;""10080301"";""STAB.OSPEDALIERO CASTIGLIONE DEL LAGO"";""89"";""1.014"";""195"""
"2022;""10080303"";""C.O.R.I. - PASSIGNANO"";""***"";""348"";""59"""
"2022;""10080304"";""STAB. OSPEDALIERO ASSISI"";""111"";""1.374"";""161"""
"2022;""10080307"";""STAB. OSPEDALIERO MEDIA VALLE DEL TEVERE"";""71"";""2.399"";""196"""
"2022;""10080501"";""OSPEDALE CIVILE SAN MATTEO DEGLI INFERMI"";""161"";""3.177"";""389"""
"2022;""10080502"";""OSPEDALE CIVILE DI NORCIA"";""***"";""69"";""***"""
"2022;""10080503"";""OSPEDALE S.RITA CASCIA"";""***"";""107"";""14"""
"2022;""10080600"";""SANTA MARIA DELLA STELLA"";""256"";""4.065"";""663"""
"2022;""10080701"";""STABILIMENTO OSPEDALIERO DI NARNI"";""***"";""1.362"";""111"""
"2022;""10080702"";""STABILIMENTO OSPEDALIERO DI AMELIA"";""17"";""187"";""103"""
"2022;""10080703"";""DOMUS GRATIAE"";""***"";""95"";""29"""
"2022;""10080901"";""OSPEDALE SAN GIOVANNI BATTISTA FOLIGNO"";""592"";""13.207"";""982"""
"2022;""10080902"";""STABILIMENTO DI TREVI"";""***"";""252"";""37"""
"2022;""10081000"";""PRESIDIO OSPEDALIERO GUBBIO E G.TADINO"";""253"";""6.076"";""531"""
"2022;""10090100"";""AZIENDA OSPEDALIERA DI PERUGIA"";""1.334"";""32.024"";""2.181"""
"2022;""10090200"";""AZIENDA OSPEDALIERA 'S. MARIA' - TERNI"";""1.273"";""21.784"";""569"""
"2022;""11000101"";""STABILIMENTO DI URBINO"";""302"";""5.841"";""849"""
"2022;""11000102"";""STABILIMENTO DI PERGOLA"";""56"";""989"";""127"""
"2022;""11000201"";""STABILIMENTO DI SENIGALLIA"";""391"";""7.031"";""967"""
"2022;""11000202"";""STABILIMENTO DI JESI"";""445"";""10.106"";""1.294"""
"2022;""11000204"";""STABILIMENTO DI FABRIANO"";""238"";""6.103"";""758"""
"2022;""11000206"";""STABILIMENTO DI CINGOLI"";""15"";""183"";""76"""
"2022;""11000301"";""STABILIMENTO DI CIVITANOVA M."";""216"";""7.855"";""550"""
"2022;""11000302"";""STABILIMENTO DI MACERATA"";""428"";""13.944"";""938"""
"2022;""11000303"";""STABILIMENTO DI CAMERINO"";""126"";""1.592"";""274"""
"2022;""11000304"";""STABILIMENTO DI S. SEVERINO M."";""119"";""2.203"";""212"""
"2022;""11000401"";""STABILIMENTO DI FERMO"";""405"";""9.373"";""638"""
"2022;""11000402"";""STABILIMENTO DI AMANDOLA"";""86"";""281"";""71"""
"2022;""11000501"";""STABILIMENTO DI S.BENEDETTO"";""431"";""8.376"";""909"""
"2022;""11000502"";""STABILIMENTO DI ASCOLI PICENO"";""560"";""9.503"";""805"""
"2022;""11003700"";""CASA DI CURA VILLA SILVIA"";""***"";""464"";""63"""
"2022;""11003900"";""KOS CARE SRL - CLINICA VILLA JOLANDA"";""***"";""89"";""38"""
"2022;""11007100"";""CASA DI CURA 'SAN GIUSEPPE'"";""***"";""258"";""51"""
"2022;""11007601"";""CASA DI CURA VILLA IGEA"";""***"";""4.420"";""559"""
"2022;""11007602"";""LABOR SPA CASA DI CURA VILLA SERENA"";""7"";""775"";""72"""
"2022;""11007701"";""CASA DI CURA VILLA PINI SANATRIX GESTION"";""239"";""5.230"";""377"""
"2022;""11007702"";""CASA DI CURA DOTT. MARCHETTI SRL"";""73"";""45"";""81"""
"2022;""11007801"";""RITA SRL CASA DI CURA PRIVATA VILLAVERDE"";""74"";""1.905"";""64"""
"2022;""11007802"";""CASA DI CURA VILLA SAN MARCO"";""58"";""1.951"";""21"""
"2022;""11007803"";""CASA DI CURA VILLA ANNA SRL"";""32"";""2.534"";""386"""
"2022;""11007804"";""CASA DI CURA SAN BENEDETTO SPA"";""52"";""2.647"";""88"""
"2022;""11007805"";""CASA DI CURA PRIVATA VILLA MONTEFELTRO"";""***"";""1.143"";""7"""
"2022;""11007901"";""CENTRO SANTO STEFANO - PORTO POTENZA"";""***"";""439"";""110"""
"2022;""11007902"";""IST. DI RIAB. S. STEFANO - VILLA ADRIA"";""***"";""218"";""152"""
"2022;""11007903"";""CENTRO SANTO STEFANO - ASCOLI PICENO"";""***"";""296"";""56"""
"2022;""11007904"";""CENTRO SANTO STEFANO - CAGLI"";""26"";""202"";""73"""
"2022;""11090101"";""STABILIMENTO DI PESARO"";""666"";""10.525"";""1.463"""
"2022;""11090102"";""STABILIMENTO DI FANO"";""449"";""11.900"";""1.152"""
"2022;""11090501"";""STABILIMENTO 'UMBERTO I - G. M. LANCISI'"";""919"";""28.188"";""2.325"""
"2022;""11090503"";""STABILIMENTO 'G. SALESI'"";""23"";""9.466"";""164"""
"2022;""11092101"";""STABILIMENTO INRCA DI ANCONA"";""319"";""3.415"";""795"""
"2022;""11092102"";""STABILIMENTO INRCA DI FERMO"";""73"";""344"";""229"""
"2022;""11092103"";""STABILIMENTO INRCA DI OSIMO"";""160"";""1.342"";""224"""
"2022;""11099500"";""CENTRO CLINICO NEMO ANCONA"";""***"";""74"";""10"""
"2022;""12000200"";""OSPEDALE DI ACQUAPENDENTE"";""49"";""1.055"";""50"""
"2022;""12000300"";""OSPEDALE DI CIVITACASTELLANA"";""121"";""2.472"";""154"""
"2022;""12000700"";""OSPEDALE DI TARQUINIA"";""89"";""2.638"";""157"""
"2022;""12001400"";""NUOVA  S.TERESA DEL BAMBIN GESU`"";""148"";""1.247"";""129"""
"2022;""12001500"";""VILLA IMMACOLATA"";""83"";""526"";""353"""
"2022;""12001900"";""POLO OSPEDALIERO UNICO INTEGRATO"";""692"";""9.071"";""243"""
"2022;""12002600"";""POLO OSPEDALIERO SANTO SPIRITO"";""265"";""8.104"";""1.030"""
"2022;""12003000"";""OSPEDALE REGIONALE OFTALMICO"";""***"";""1.415"";""***"""
"2022;""12003600"";""DATO ERRATO"";""***"";""***"";""***"""
"2022;""12003600"";""OSP. VILLA ALBANI ANZIO"";""***"";""64"";""12"""
"2022;""12004300"";""OSP. ANZIO-NETTUNO"";""182"";""2.755"";""514"""
"2022;""12004500"";""OSPEDALE SAN PAOLO"";""248"";""4.524"";""617"""
"2022;""12004600"";""OSPEDALE L.PARODI DELFINO"";""189"";""3.394"";""450"""
"2022;""12004700"";""OSP. S.SEBASTIANO FRASCATI"";""212"";""2.163"";""489"""
"2022;""12004800"";""OSP. S.GIUSEPPE MARINO"";""***"";""1.528"";""***"""
"2022;""12004900"";""OSPEDALE SS. GONFALONE"";""147"";""1.704"";""205"""
"2022;""12005100"";""OSPEDALE CIVILE CONIUGI BERNARDINI"";""164"";""1.197"";""212"""
"2022;""12005200"";""OSPEDALE A. ANGELUCCI"";""94"";""794"";""206"""
"2022;""12005300"";""OSPEDALE S. GIOVANNI EVANGELISTA(TIVOLI)"";""322"";""5.059"";""673"""
"2022;""12005400"";""OSP.'PAOLO COLOMBO' VELLETRI"";""203"";""2.498"";""373"""
"2022;""12005900"";""OSPEDALE  PADRE PIO DI BRACCIANO"";""124"";""1.087"";""319"""
"2022;""12006100"";""OSPEDALE G. B. GRASSI"";""362"";""7.157"";""658"""
"2022;""12006500"";""CENTRO PARAPLEGICI OSTIA ' GENNARO DI RO"";""***"";""165"";""42"""
"2022;""12006601"";""OSPEDALE S.EUGENIO"";""660"";""13.493"";""1.271"""
"2022;""12006602"";""OSPEDALE CTO.A.ALESINI"";""12"";""3.412"";""487"""
"2022;""12007100"";""OSPEDALE SAN PIETRO - FBF"";""427"";""20.180"";""783"""
"2022;""12007200"";""DATO ERRATO"";""***"";""35"";""***"""
"2022;""12007200"";""OSPEDALE SAN GIOVANNI CALIBITA - FBF"";""142"";""9.216"";""164"""
"2022;""12007300"";""OSPEDALE SAN CARLO DI NANCY"";""137"";""10.197"";""738"""
"2022;""12007400"";""OSP. GEN. DI ZONA 'CRISTO RE'"";""93"";""7.931"";""288"""
"2022;""12007500"";""OSPEDALE ISRAELITICO"";""117"";""5.739"";""354"""
"2022;""12007600"";""MADRE GIUSEPPINA VANNINI"";""401"";""7.132"";""570"""
"2022;""12007900"";""CASA DI CURA VILLA DOMELIA S.R.L."";""63"";""1.713"";""301"""
"2022;""12008200"";""VILLA DELLE QUERCE-POLIGEST"";""232"";""1.909"";""554"""
"2022;""12008500"";""MADONNA DELLA FIDUCIA"";""14"";""943"";""***"""
"2022;""12008700"";""CASA DI CURA POLICLINICO ITALIA"";""***"";""842"";""87"""
"2022;""12008800"";""I.N.I. SRL DIVISIONE MEDICUS HOTEL"";""28"";""527"";""165"""
"2022;""12008900"";""N.C.L. ISTITUTO DI NEUROSCIENZE S.R.L."";""12"";""561"";""34"""
"2022;""12009000"";""CASA DI CURA VILLA BENEDETTA"";""8"";""1.039"";""10"""
"2022;""12009200"";""CASA DI CURA SANATRIX"";""6"";""1.361"";""***"""
"2022;""12009600"";""C.D.C. MADONNA DELLE GRAZIE"";""25"";""3.202"";""44"""
"2022;""12009800"";""CASA DI CURA N.SIGNORA DELLA MERCEDE"";""32"";""1.270"";""***"""
"2022;""12010400"";""CASA DI CURA VILLA FULVIA SRL"";""32"";""1.317"";""216"""
"2022;""12010500"";""CASA DI CURA MARCO POLO"";""***"";""579"";""***"""
"2022;""12010800"";""CASA DI CURA ASSUNZIONE DI MARIA SS"";""***"";""1.179"";""***"""
"2022;""12011300"";""CASA DI CURA VILLA PIA"";""234"";""3.214"";""209"""
"2022;""12011400"";""CASA DI CURA QUISISANA"";""10"";""1.528"";""***"""
"2022;""12011500"";""CASA DI CURA SANTA FAMIGLIA"";""***"";""4.894"";""20"""
"2022;""12011800"";""CASA DI CURA VILLA DEL ROSARIO"";""14"";""1.413"";""***"""
"2022;""12011900"";""CASA DI CURA VILLA MAFALDA"";""14"";""1.905"";""***"""
"2022;""12012000"";""CASA DI CURA SAN DOMENICO"";""***"";""291"";""***"""
"2022;""12012300"";""CASA DI CURA VILLA STUART"";""***"";""1.319"";""***"""
"2022;""12012900"";""CASA DI CURA VILLA MARGHERITA"";""43"";""2.632"";""24"""
"2022;""12013000"";""CASA DI CURA VILLA SANDRA"";""9"";""1.828"";""117"""
"2022;""12013200"";""CASA DI CURA GUARNIERI SPA"";""46"";""2.776"";""476"""
"2022;""12013300"";""CASA DI CURA SALVATOR MUNDI"";""41"";""2.075"";""27"""
"2022;""12013400"";""CASA DI CURA S.ANNA POMEZIA"";""79"";""2.344"";""237"""
"2022;""12013500"";""C.D.C. MATER MISERICORDIAE"";""***"";""323"";""19"""
"2022;""12013800"";""OSPEDALE SAN GIOVANNI BATTISTA-ACISMOM"";""15"";""1.569"";""173"""
"2022;""12013900"";""CLINICA LATINA"";""48"";""182"";""63"""
"2022;""12014100"";""CASA DI CURA SANTO VOLTO"";""***"";""388"";""***"""
"2022;""12014300"";""CONCORDIA HOSPITAL"";""***"";""1.368"";""109"""
"2022;""12014400"";""CLINICA VALLE GIULIA SPA"";""***"";""274"";""***"""
"2022;""12014600"";""CASA DI CURA S.RITA DA CASCIA"";""***"";""239"";""91"""
"2022;""12015000"";""CASA DI CURA PIO XI"";""48"";""3.556"";""19"""
"2022;""12015700"";""C.D.C. FABIA MATER"";""18"";""3.459"";""110"""
"2022;""12015800"";""PAIDEIA INTERNATIONAL HOSPITAL"";""15"";""1.182"";""***"""
"2022;""12015900"";""CASA DI CURA NUOVA VILLA CLAUDIA"";""***"";""2.652"";""***"""
"2022;""12016300"";""CASA DI CURA SAN FELICIANO"";""20"";""3.017"";""254"""
"2022;""12016600"";""CASA DI CURA NUOVA ITOR"";""42"";""3.662"";""88"""
"2022;""12016900"";""NUOVA CLINICA ANNUNZIATELLA"";""***"";""941"";""11"""
"2022;""12017100"";""CASA DI CURA CITTA` DI ROMA"";""87"";""1.072"";""166"""
"2022;""12017200"";""CASA DI CURA MATER DEI"";""20"";""2.798"";""***"""
"2022;""12017300"";""EUROPEAN HOSPITAL"";""33"";""3.221"";""577"""
"2022;""12017600"";""C.D.C. I.N.I. SRL"";""283"";""4.019"";""980"""
"2022;""12018000"";""AURELIA HOSPITAL"";""237"";""5.281"";""565"""
"2022;""12019100"";""CASA DI CURA MERRY HOUSE/C.GERIATRICO RO"";""173"";""538"";""291"""
"2022;""12019900"";""I.N.I. SRL  DIVISIONE VILLA DANTE"";""77"";""648"";""238"""
"2022;""12020000"";""PRESIDIO OSPEDALIERO NORD"";""763"";""12.186"";""890"""
"2022;""12020401"";""ALFREDO FIORINI TERRACINA"";""179"";""2.367"";""209"""
"2022;""12020402"";""SAN GIOVANNI DI DIO FONDI"";""75"";""2.653"";""82"""
"2022;""12020600"";""PRESIDIO OSPEDALIERO SUD"";""306"";""6.166"";""410"""
"2022;""12020900"";""CASA DEL SOLE CLINICA TOMMASO COSTA"";""34"";""3.503"";""146"""
"2022;""12021200"";""ISTIT CHIR ORTOP TRAUMATOLOGICO"";""61"";""7.901"";""1.099"""
"2022;""12021300"";""CLINICHE MODERNE SPA"";""48"";""1.735"";""51"""
"2022;""12021400"";""ISTITUTO FISIOTERAPICO C.FRANCESCHINI"";""***"";""564"";""60"""
"2022;""12021500"";""OSPEDALE CIITTA' DI APRILIA"";""214"";""3.568"";""171"""
"2022;""12021601"";""OSPEDALE  F. SPAZIANI  FROSINONE"";""518"";""8.826"";""709"""
"2022;""12021602"";""OSPEDALE SAN BENEDETTO ALATRI"";""121"";""3.679"";""144"""
"2022;""12022600"";""OSPEDALE CIVILE S.S.TRINITA` N.SEDE SORA"";""274"";""6.385"";""229"""
"2022;""12022800"";""OSPEDALE S. SCOLASTICA CASSINO"";""381"";""7.223"";""480"""
"2022;""12023000"";""CASA DI CURA PRIV. S. ANNA S.R.L CASSINO"";""7"";""1.428"";""11"""
"2022;""12023500"";""CASA DI CURA PRIV. VILLA SERENA CASSINO"";""62"";""773"";""145"""
"2022;""12023600"";""CASA DI CURA PRIV. SANTA TERESA ISOLA L."";""***"";""1.088"";""***"""
"2022;""12024300"";""CASA DI CURA VILLA SALARIA S.R.L."";""***"";""123"";""***"""
"2022;""12024500"";""CENTRO RESIDENZIALE MEDICA GROUP"";""52"";""121"";""137"""
"2022;""12024900"";""C.D.C. VILLA ANNA MARIA"";""***"";""195"";""***"""
"2022;""12025400"";""ARS MEDICA SPA"";""47"";""1.873"";""***"""
"2022;""12025600"";""ARSBIOMEDICA DELLA SAF GESTIONI SANITARI"";""***"";""674"";""8"""
"2022;""12025700"";""CASA DI CURA S. MARIA DI LEUCA"";""***"";""1.838"";""***"""
"2022;""12026200"";""CASA DI CURA VILLA MARIA IMMACOLATA"";""57"";""167"";""58"""
"2022;""12026400"";""CASA DI CURA VILLA VERDE"";""50"";""209"";""111"""
"2022;""12026500"";""ROME AMERICAN HOSPITAL"";""***"";""1.200"";""***"""
"2022;""12026700"";""OSPEDALE SANDRO PERTINI"";""513"";""12.002"";""751"""
"2022;""12027100"";""POLO OSPEDALIERO"";""905"";""13.717"";""500"""
"2022;""12027700"";""CASA CURA PRIVATA'SAN RAFFAELE' CASSINO"";""219"";""1.614"";""600"""
"2022;""12027800"";""CASA DI CURA 'VILLA SILVANA'"";""***"";""379"";""6"""
"2022;""12027900"";""I.N.I. DIV.DISTACCAT CITTA` BIANCA"";""46"";""751"";""325"""
"2022;""12028000"";""C.D.C SAN RAFFAELE MONTECOMPATRI"";""20"";""1.471"";""212"""
"2022;""12028300"";""C. DI C. 'ISTITUTO CLINICO CASALPALOCCO"";""524"";""764"";""128"""
"2022;""12028400"";""NOMENTANA HOSPITAL SRL"";""11"";""1.163"";""200"""
"2022;""12028501"";""PRESIDIO SAN FILIPPO NERI"";""461"";""11.622"";""1.376"""
"2022;""12028503"";""PRESIDIO CASSIA SANT'ANDREA"";""***"";""225"";""***"""
"2022;""12028600"";""CASA DI CURA VILLA LUANA"";""***"";""191"";""32"""
"2022;""12028800"";""VILLA TIBERIA HOSPITAL"";""86"";""4.275"";""254"""
"2022;""12028900"";""VILLA DEI PINI ASA SRL"";""113"";""505"";""90"""
"2022;""12029000"";""CASA DI CURA KAROL WOJTYLA HOSPITAL"";""***"";""985"";""175"""
"2022;""12029100"";""CASA DI CURA SRL 'SORA'"";""53"";""828"";""178"""
"2022;""12029200"";""OSPEDALE DEI CASTELLI"";""448"";""7.856"";""938"""
"2022;""12029300"";""CASA DI CURA VILLA AURORA"";""***"";""890"";""55"""
"2022;""12029400"";""POLICLINICO CASILINO"";""492"";""23.024"";""1.209"""
"2022;""12029500"";""POLICLINICO LUIGI DI LIEGRO"";""204"";""4.382"";""763"""
"2022;""12029600"";""CASA DI CURA VILLA BETANIA"";""39"";""3.561"";""876"""
"2022;""12029700"";""CLINICA FENICE PARIOLI SRL"";""***"";""1.503"";""***"""
"2022;""12029800"";""CASA DI CURA SALUS INFIRMORUM"";""17"";""395"";""165"""
"2022;""12030000"";""CASA DI CURA VILLA VALERIA"";""***"";""1.552"";""***"""
"2022;""12030100"";""C.DI C. AUXOLOGICO ROMA - BUON PASTORE"";""44"";""598"";""257"""
"2022;""12030200"";""OSPEDALE REGINA APOSTOLORUM"";""130"";""4.681"";""175"""
"2022;""12030300"";""VILLA SALARIA HOSPITAL S.R.L."";""***"";""1.168"";""***"""
"2022;""12030400"";""CASA DI CURA NEPI"";""***"";""***"";""22"""
"2022;""12030500"";""DATO ERRATO"";""***"";""48"";""***"""
